id,name,location,latitude,longitude,rating,priceCategory,type,img,link
95923,Le Bouillon,Annecy,45.89916,6.12187,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e81be4fbac5d4d2686dfb0d8759852ab.jpeg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/annecy/restaurant/le-bouillon
95922,La Table du Château,Dampierre-en-Yvelines,48.7061239,1.9871812,0,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d763365492894f82b539cfebfb4268a1.jpeg,https://guide.michelin.com/us/en/ile-de-france/dampierre-en-yvelines/restaurant/la-table-du-chateau-1210131
95921,Ekume,Marseille,43.2908092,5.367523,0,2,Mediterranean Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/34de861817ea4a5b982d2ef362bd8133.jpeg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/marseille/restaurant/ekume
95920,L'effet Papilles,Laval,48.0697331,-0.7729361,0,2,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/59c82be2476f46e39f979a5e3ba0ae72.jpg,https://guide.michelin.com/us/en/pays-de-la-loire/fr-laval/restaurant/l-effet-papilles
95919,Lil'Home,Bordeaux,44.8505023,-0.5701,0,3,Modern Cuisine,,https://guide.michelin.com/us/en/nouvelle-aquitaine/bordeaux/restaurant/lil-home
95918,Rouge,Nice,43.6973251,7.2828128,0,1,Mediterranean Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/702dcbca1826499c9d9384138ea3caa5.jpeg,https://guide.michelin.com/us/en/provence-alpes-cote-dazur/nice/restaurant/rouge
95917,Le Roc,Veyrier-du-Lac,45.8889,6.17208,0,4,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b8aec3c4226642ae9de47ea8e2a3bdef.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/veyrier-du-lac/restaurant/le-roc-1201718
95916,La Table de Mee,Paris,48.8530426,2.3340394,0,2,Korean,,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/la-table-de-mee
95915,Braise,Paris,48.8706095,2.3212154,0,3,Modern Cuisine,,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/braise
95914,Auberge des Gorges,Servoz,45.9316196,6.7686837,0,3,Modern Cuisine,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8c049cb4fcb8470689bb7e1b73d7878f.jpg,https://guide.michelin.com/us/en/auvergne-rhone-alpes/servoz_1515686/restaurant/auberge-des-gorges
95913,Restaurant du Pont,Basse-Goulaine,47.2153483,-1.4750179,0,2,Traditional Cuisine,,https://guide.michelin.com/us/en/pays-de-la-loire/basse-goulaine/restaurant/du-pont
